-- этот файл читается customs/marking.py; строки, начинающиеся с --, игнорируются
-- Товарные группы обязательной маркировки «Честный знак».
-- Перечни утверждаются постановлениями Правительства РФ и меняются несколько раз в год,
-- поэтому таблица заведомо ориентировочная: бот говорит «вероятно, проверьте», а не «нужна».
-- Правится вручную, без изменения кода. Формат: префикс кода ТН ВЭД, группа, дата старта.
prefix,category,since
2103,Соусы и приправы,2026-09-01
2104,Супы и бульоны,2026-09-01
2936,Ветеринарные препараты,2026-03-01
2941,Ветеринарные препараты,2026-03-01
3001,Ветеринарные препараты,2026-03-01
3002,Ветеринарные препараты,2026-03-01
2520,Строительные материалы,2026-05-01
2523,Строительные материалы,2026-05-01
3214,Строительные смеси,2026-05-01
3816,Строительные материалы,2026-05-01
3824,Строительные смеси,2026-05-01
8471,Радиоэлектроника,2026-05-01
8504,Радиоэлектроника,2026-05-01
8517,Радиоэлектроника,2026-05-01
8528,Радиоэлектроника,2026-05-01
8534,Радиоэлектроника,2026-05-01
8536,Радиоэлектроника,2026-05-01
8537,Радиоэлектроника,2026-05-01
8539,Лампы и осветительные приборы,2026-05-01
8541,Радиоэлектроника,2026-05-01
9405,Светильники,2026-05-01
6101,Товары лёгкой промышленности,2026-03-01
6102,Товары лёгкой промышленности,2026-03-01
6103,Товары лёгкой промышленности,2026-03-01
6104,Товары лёгкой промышленности,2026-03-01
6105,Товары лёгкой промышленности,2026-03-01
6106,Товары лёгкой промышленности,2026-03-01
6107,Товары лёгкой промышленности,2026-03-01
6108,Товары лёгкой промышленности,2026-03-01
6109,Товары лёгкой промышленности,2026-03-01
6110,Товары лёгкой промышленности,2026-03-01
6111,Товары лёгкой промышленности,2026-03-01
6112,Товары лёгкой промышленности,2026-03-01
6114,Товары лёгкой промышленности,2026-03-01
6115,Товары лёгкой промышленности,2026-03-01
6116,Товары лёгкой промышленности,2026-03-01
6117,Товары лёгкой промышленности,2026-03-01
6201,Товары лёгкой промышленности,2026-03-01
6202,Товары лёгкой промышленности,2026-03-01
6203,Товары лёгкой промышленности,2026-03-01
6204,Товары лёгкой промышленности,2026-03-01
6205,Товары лёгкой промышленности,2026-03-01
6206,Товары лёгкой промышленности,2026-03-01
6207,Товары лёгкой промышленности,2026-03-01
6208,Товары лёгкой промышленности,2026-03-01
6209,Товары лёгкой промышленности,2026-03-01
6210,Товары лёгкой промышленности,2026-03-01
6211,Товары лёгкой промышленности,2026-03-01
6212,Товары лёгкой промышленности,2026-03-01
6213,Товары лёгкой промышленности,2026-03-01
6214,Товары лёгкой промышленности,2026-03-01
6215,Товары лёгкой промышленности,2026-03-01
6216,Товары лёгкой промышленности,2026-03-01
6217,Товары лёгкой промышленности,2026-03-01
6301,Постельное бельё и текстиль,2021-01-01
6302,Постельное бельё и текстиль,2021-01-01
4203,Одежда из натуральной кожи,2021-01-01
